"day","Retic","RBC","Pd","M","E","R","W","N","K","mouse","box","paba","sigmaRBCinit","sigmaReticinit","sigmaPdinit","lambdaM","lambdaE","sigmaR","sigmaW","sigmaN","fit","con","ID"
18,899935.142890476,6510000,477.531,6.15257671885576,15.5397967815223,13.7101549523761,16.4320308101895,14.1742566316243,6.15254061818983,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
19,932579.835988258,6120000,NA,5.23648790799207,15.4659466328229,13.7456074639093,16.6121922769319,13.03157523934,5.23647260220817,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
20,927864.902289168,6730000,49.0764,3.90045844399785,15.5699662322946,13.7410829848433,16.6121953223621,13.0315751331717,3.90045476027736,"03","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-68.4081566034272,0,9
0,168485.971922256,7660000,NA,6.86817811924138,15.887472008765,12.0348633332864,12.3702287152411,12.6323196100071,6.86811885195972,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
1,709159.559314927,9760000,2888.925,8.20832964819876,15.8741313436867,13.4715171706699,12.3727701151745,12.7835121327287,8.20811480533645,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
2,346435.195316642,8550000,9678.525,9.54884306721405,15.9138911696477,12.7555396332095,12.4711227486111,12.855218376355,9.54801792138128,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
3,349895.903434894,8200000,55027.8,10.8870817254632,15.9031795239836,12.7653297070671,12.836334638026,13.0314292544469,10.8839060542181,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
4,329203.296797792,8570000,220524,12.1993963047549,15.8803567823945,12.704378177453,13.5691261055336,13.3673637518902,12.1873262837339,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
5,286687.251578387,7250000,1082187,13.4271689154685,15.811393458132,12.5660497101349,14.9154867367512,13.5130820120599,13.38314429882,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
6,204430.539269513,6320000,1309602,14.2997537651861,15.6603465569118,12.2280548286227,15.8876565101021,13.1432164527343,14.1780852293754,"02","04","0",0.0794,0.151,0.597,1000,1000,0.75,0.75,0.75,-49.7894679066301,0,8
