"name","mouse","value","time"
"logE","GROUP",8078766.42382757,0
"logM","GROUP",705.459529915975,0
"logN","GROUP",266139.561652002,0
"logR","GROUP",204296.032977901,0
"logW","GROUP",2182351.60259845,0
"logM","C",2088.19312360884,0
"logE","C",7571861.61338917,0
"logR","C",201951.43793514,0
"logW","C",1832537.34695224,0
"logN","C",266139.561683582,0
"logM","B",1581.5126460501,0
"logE","B",8351018.74183627,0
"logR","B",170981.10359373,0
"logW","B",2528257.50643277,0
"logN","B",266139.561638165,0
"logM","A",1343.1637412823,0
"logE","A",8233266.33792406,0
"logR","A",195265.252767645,0
"logW","A",2230575.93163817,0
"logN","A",266139.561619669,0
"logE","GROUP",7933004.83481127,1
"logM","GROUP",3526.69553898711,1
"logN","GROUP",1023864.34763014,1
"logR","GROUP",717441.241053624,1
"logW","GROUP",2180346.71326554,1
"logM","C",9181.25253119595,1
"logE","C",7266090.97699017,1
"logR","C",778721.113053701,1
"logW","C",1830647.85129937,1
"logN","C",1023864.34775163,1
"logM","B",6562.42970181048,1
"logE","B",8703881.73189102,1
"logR","B",679679.360063539,1
"logW","B",2526173.91578039,1
"logN","B",1023864.34757691,1
"logM","A",5752.95169888583,1
"logE","A",8344461.09665346,1
"logR","A",691459.141709612,1
"logW","A",2228569.18080249,1
"logN","A",1023864.34750576,1
"logE","GROUP",7918716.41692206,2
"logM","GROUP",17384.1362627343,2
"logN","GROUP",696004.212145376,2
"logR","GROUP",360900.830866276,2
"logW","GROUP",2279856.84176558,2
"logM","C",37067.6896304581,2
"logE","C",6743760.0427881,2
"logR","C",392167.929353249,2
"logW","C",1913801.2958184,2
"logN","C",696004.212227958,2
"logM","B",25886.8424998576,2
"logE","B",8523931.28327136,2
"logR","B",310964.198755476,2
"logW","B",2642130.50443408,2
"logN","B",696004.212109191,2
"logM","A",23115.2216343845,2
"logE","A",8283845.68400141,2
"logR","A",337837.352217839,2
"logW","A",2330502.12297394,2
"logN","A",696004.212060824,2
"logE","GROUP",7523113.63914764,3
"logM","GROUP",83185.1876738601,3
"logN","GROUP",483298.058908401,3
"logR","GROUP",462446.753591055,3
"logW","GROUP",2537685.61966048,3
"logM","C",147721.071876227,3
"logE","C",6374634.86340452,3
"logR","C",654142.047717988,3
"logW","C",2129624.14858477,3
"logN","C",483298.058965743,3
"logM","B",102047.186385497,3
"logE","B",8179400.29576636,3
"logR","B",367387.164400174,3
"logW","B",2942205.39275538,3
"logN","B",483298.058883276,3
"logM","A",93608.942802179,3
"logE","A",7993074.68643127,3
"logR","A",377088.011121636,3
"logW","A",2594559.77215669,3
"logN","A",483298.058849691,3
"logE","GROUP",7419639.72480698,4
"logM","GROUP",381697.092996089,4
"logN","GROUP",297655.547352799,4
"logR","GROUP",526420.137529498,4
"logW","GROUP",2972431.10588267,4
"logM","C",580447.146605512,4
"logE","C",6337046.09475724,4
"logR","C",829408.094984743,4
"logW","C",2492864.69599177,4
"logN","C",297655.547388113,4
"logM","B",391429.884870636,4
"logE","B",8039740.1048393,4
"logR","B",382803.275777555,4
"logW","B",3448938.4619956,4
"logN","B",297655.547337326,4
"logM","A",371266.796488103,4
"logE","A",7871457.57360434,4
"logR","A",431002.885667862,4
"logW","A",3040259.38306485,4
"logN","A",297655.547316643,4
"logE","GROUP",7314265.35614425,5
"logM","GROUP",1583259.59086356,5
"logN","GROUP",461016.588437729,5
"logR","GROUP",486984.475853878,5
"logW","GROUP",5964282.44589195,5
"logM","C",2175372.19791466,5
"logE","C",6344989.3185246,5
"logR","C",1009991.60342412,5
"logW","C",4997318.64185155,5
"logN","C",461016.58849242,5
"logM","B",1413301.857226,5
"logE","B",7877737.32007264,5
"logR","B",295288.234438583,5
"logW","B",6936702.21361257,5
"logN","B",461016.588413765,5
"logM","A",1399629.36981612,5
"logE","A",7706163.64326041,5
"logR","A",357943.455747809,5
"logW","A",6106657.64299809,5
"logN","A",461016.588381732,5
"logE","GROUP",6106748.35081367,6
"logM","GROUP",4182490.44606028,6
"logN","GROUP",636445.211057109,6
"logR","GROUP",327632.934933816,6
"logW","GROUP",21615645.8728861,6
"logM","C",5152646.65397093,6
"logE","C",5108724.84676573,6
"logR","C",613529.891633111,6
"logW","C",17982874.6321199,6
"logN","C",636445.211132608,6
"logM","B",3031417.47006952,6
"logE","B",6549838.5065848,6
"logR","B",243919.986128025,6
"logW","B",25416876.0553181,6
"logN","B",636445.211024031,6
"logM","A",3277384.32372681,6
"logE","A",6383538.99911208,6
"logR","A",202301.743864924,6
"logW","A",22145821.978039,6
"logN","A",636445.210979809,6
"logE","GROUP",3298269.75016476,7
"logM","GROUP",1080617.90628657,7
"logN","GROUP",649471.752357335,7
"logR","GROUP",308489.488222083,7
"logW","GROUP",9341219.56294518,7
"logM","C",754219.183124,7
"logE","C",2083057.94950419,7
"logR","C",364229.994431405,7
"logW","C",7534059.5399321,7
"logN","C",649471.752434374,7
"logM","B",304164.835832112,7
"logE","B",3934014.17277091,7
"logR","B",255778.974074221,7
"logW","B",11028668.2502407,7
"logN","B",649471.752323582,7
"logM","A",468561.787471629,7
"logE","A",3645967.71868585,7
"logR","A",268211.782452331,7
"logW","A",9802631.1199147,7
"logN","A",649471.752278457,7
"logE","GROUP",2490467.54019452,8
"logM","GROUP",321687.808835642,8
"logN","GROUP",634015.485115901,8
"logR","GROUP",582630.020815522,8
"logW","GROUP",6922408.38992612,8
"logM","C",132052.080891694,8
"logE","C",1390016.42996446,8
"logR","C",621042.972227688,8
"logW","C",5453201.22529754,8
"logN","C",634015.485191102,8
"logM","B",104042.500704861,8
"logE","B",3346262.30687847,8
"logR","B",584777.194070924,8
"logW","B",8179961.99907812,8
"logN","B",634015.485082955,8
"logM","A",176055.745723355,8
"logE","A",2894324.29129323,8
"logR","A",520048.788882766,8
"logW","A",7423192.95606739,8
"logN","A",634015.485038904,8
"logE","GROUP",2429604.14789856,9
"logM","GROUP",57953.4853129669,9
"logN","GROUP",1364297.85383696,9
"logR","GROUP",920821.34324813,9
"logW","GROUP",7035324.99174482,9
"logM","C",35702.9177516154,9
"logE","C",1375485.38440634,9
"logR","C",946566.079304866,9
"logW","C",5451498.11553319,9
"logN","C",1364297.85399877,9
"logM","B",62818.0900138396,9
"logE","B",3280558.84334708,9
"logR","B",865319.695602232,9
"logW","B",8310894.51413392,9
"logN","B",1364297.85376607,9
"logM","A",93292.0775617989,9
"logE","A",2681549.95506056,9
"logR","A",988820.332484368,9
"logW","A",7672191.28057337,9
"logN","A",1364297.85367129,9
"logE","GROUP",2222702.63932047,10
"logM","GROUP",15006.4277234653,10
"logN","GROUP",2839875.33700638,10
"logR","GROUP",2123979.29340538,10
"logW","GROUP",7220376.11444675,10
"logM","C",10846.7726684123,10
"logE","C",1270985.64738008,10
"logR","C",2338193.56912859,10
"logW","C",5535263.11266874,10
"logN","C",2839875.3373432,10
"logM","B",34809.6382905635,10
"logE","B",2953523.57814471,10
"logR","B",2281337.92978003,10
"logW","B",8524945.74602894,10
"logN","B",2839875.33685882,10
"logM","A",45210.3762760801,10
"logE","A",2454637.23402526,10
"logR","A",2164459.22432045,10
"logW","A",7963861.80549877,10
"logN","A",2839875.33666154,10
"logE","GROUP",2313466.87383115,11
"logM","GROUP",13871.1034223075,11
"logN","GROUP",7123412.81932878,11
"logR","GROUP",3193732.20622351,11
"logW","GROUP",6741102.56930087,11
"logM","C",6131.8198005941,11
"logE","C",1637537.74276606,11
"logR","C",3479740.49323522,11
"logW","C",5129761.76413039,11
"logN","C",7123412.82017365,11
"logM","B",22796.7771335261,11
"logE","B",3024759.43419014,11
"logR","B",3526560.75064489,11
"logW","B",7956617.67125783,11
"logN","B",7123412.81895866,11
"logM","A",24976.4136813379,11
"logE","A",2473545.35456345,11
"logR","A",3440929.06210735,11
"logW","A",7490759.97033859,11
"logN","A",7123412.8184639,11
"logE","GROUP",1989302.04841342,12
"logM","GROUP",15582.7900822343,12
"logN","GROUP",3365481.76442801,12
"logR","GROUP",2774956.75908005,12
"logW","GROUP",6166643.2986391,12
"logM","C",3221.90233519067,12
"logE","C",1256992.00822975,12
"logR","C",2119089.57789027,12
"logW","C",4667169.64571513,12
"logN","C",3365481.76482716,12
"logM","B",13119.3502993739,12
"logE","B",2209604.35953525,12
"logR","B",3070558.14178503,12
"logW","B",7278921.13479601,12
"logN","B",3365481.76425315,12
"logM","A",12126.7942453453,12
"logE","A",1779122.6838361,12
"logR","A",4148144.8894964,12
"logW","A",6887169.29604395,12
"logN","A",3365481.76401943,12
"logE","GROUP",2565691.74281036,13
"logM","GROUP",16057.0710104677,13
"logN","GROUP",446436.205096653,13
"logR","GROUP",1770769.40774542,13
"logW","GROUP",6465831.50391956,13
"logM","C",1718.64081538991,13
"logE","C",1234154.50744137,13
"logR","C",1362172.49430482,13
"logW","C",4879148.78982694,13
"logN","C",446436.205149601,13
"logM","B",10052.3470364237,13
"logE","B",2811560.59816682,13
"logR","B",2094028.22515544,13
"logW","B",7634238.77824639,13
"logN","B",446436.205073457,13
"logM","A",12367.518236094,13
"logE","A",3358411.80045293,13
"logR","A",2269133.05904222,13
"logW","A",7241627.89205317,13
"logN","A",446436.205042461,13
"logE","GROUP",3944356.93975179,14
"logM","GROUP",14832.5128728177,14
"logN","GROUP",3831031.86801367,14
"logR","GROUP",2413484.35458658,14
"logW","GROUP",8868243.8914522,14
"logM","C",1272.99901127054,14
"logE","C",2210750.40964794,14
"logR","C",2793172.68178881,14
"logW","C",6693474.88337757,14
"logN","C",3831031.86846802,14
"logM","B",11138.9758597186,14
"logE","B",4449373.82422385,14
"logR","B",2325193.70955536,14
"logW","B",10472195.7036461,14
"logN","B",3831031.86781461,14
"logM","A",18143.7248846934,14
"logE","A",5321795.3853536,14
"logR","A",2668123.61333154,14
"logW","A",9939614.68534268,14
"logN","A",3831031.86754868,14
"logE","GROUP",3727822.38111601,15
"logM","GROUP",7441.94637474449,15
"logN","GROUP",1631776.29997927,15
"logR","GROUP",1782310.65928362,15
"logW","GROUP",11313571.3270667,15
"logM","C",895.24256204329,15
"logE","C",2297693.55983165,15
"logR","C",2021678.68268946,15
"logW","C",8556576.973298,15
"logN","C",1631776.30017279,15
"logM","B",7761.25360831514,15
"logE","B",3756225.9631006,15
"logR","B",1633683.63109727,15
"logW","B",13352378.8538588,15
"logN","B",1631776.29989448,15
"logM","A",18621.5424096311,15
"logE","A",5141410.7336935,15
"logR","A",2000873.33968194,15
"logW","A",12671991.1722084,15
"logN","A",1631776.29978123,15
"logE","GROUP",4160358.28387283,16
"logM","GROUP",4145.84013762512,16
"logN","GROUP",1518217.88819199,16
"logR","GROUP",1540861.36695883,16
"logW","GROUP",13682350.4774215,16
"logM","C",487.584927853382,16
"logE","C",2902685.29448055,16
"logR","C",2198073.69467146,16
"logW","C",10392134.4515931,16
"logN","C",1518217.88837204,16
"logM","B",2770.96975323769,16
"logE","B",3966653.14734341,16
"logR","B",1275713.17618856,16
"logW","B",16118069.316907,16
"logN","B",1518217.8881131,16
"logM","A",14456.810100976,16
"logE","A",5890127.48702222,16
"logR","A",1483823.59693028,16
"logW","A",15297821.7065392,16
"logN","A",1518217.88800775,16
"logE","GROUP",4525748.03380139,17
"logM","GROUP",3835.81547356766,17
"logN","GROUP",1003873.15164674,17
"logR","GROUP",1676641.90664102,17
"logW","GROUP",15836333.7696625,17
