"name","mouse","value","time","box"
"logM","C",2404626.9906537,6,"04"
"logN","C",275736.916998621,6,"04"
"logW","C",14355866.4157191,6,"04"
"logE","GROUP",4830616.08481425,7,"04"
"logM","GROUP",867306.475725408,7,"04"
"logN","GROUP",332072.477289213,7,"04"
"logR","GROUP",308261.411109792,7,"04"
"logW","GROUP",7573064.12486105,7,"04"
"logR","A",322054.324875746,7,"04"
"logE","A",4258718.4106431,7,"04"
"logM","A",479722.433938514,7,"04"
"logN","A",332072.477321468,7,"04"
"logW","A",5960098.32853977,7,"04"
"logR","B",250199.237029132,7,"04"
"logE","B",3785450.10624978,7,"04"
"logM","B",56673.9485451802,7,"04"
"logN","B",332072.477290893,7,"04"
"logW","B",12157288.2659621,7,"04"
"logR","C",362337.494390775,7,"04"
"logE","C",4533283.07204102,7,"04"
"logM","C",943389.739547446,7,"04"
"logN","C",332072.47727444,7,"04"
"logW","C",10577686.3121755,7,"04"
"logE","GROUP",3927881.86520635,8,"04"
"logM","GROUP",381788.714979858,8,"04"
"logN","GROUP",525966.625289943,8,"04"
"logR","GROUP",530923.588625095,8,"04"
"logW","GROUP",6559543.85653182,8,"04"
"logR","A",568350.256025751,8,"04"
"logE","A",3839407.99782198,8,"04"
"logM","A",470513.596124782,8,"04"
"logN","A",525966.625341028,8,"04"
"logW","A",3668214.66416591,8,"04"
"logR","B",420974.296842804,8,"04"
"logE","B",3673890.99793684,8,"04"
"logM","B",10398.5014393653,8,"04"
"logN","B",525966.625292602,8,"04"
"logW","B",6737503.83755893,8,"04"
"logR","C",624535.575993387,8,"04"
"logE","C",3772672.37882399,8,"04"
"logM","C",377043.901331469,8,"04"
"logN","C",525966.625266542,8,"04"
"logW","C",1890775.45896839,8,"04"
"logE","GROUP",3213577.32102411,9,"04"
"logM","GROUP",158935.756738065,9,"04"
"logN","GROUP",1263137.40548912,9,"04"
"logR","GROUP",777893.540116308,9,"04"
"logW","GROUP",6318142.69947284,9,"04"
"logR","A",823266.838632072,9,"04"
"logE","A",3514617.76212903,9,"04"
"logM","A",703072.651008336,9,"04"
"logN","A",1263137.4056118,9,"04"
"logW","A",2099554.30687853,9,"04"
"logR","B",560921.563036696,9,"04"
"logE","B",3593000.89242486,9,"04"
"logM","B",7190.02073828376,9,"04"
"logN","B",1263137.40549551,9,"04"
"logW","B",4999597.04130778,9,"04"
"logR","C",1019031.48927673,9,"04"
"logE","C",3591587.15015747,9,"04"
"logM","C",851115.175953238,9,"04"
"logN","C",1263137.40543292,9,"04"
"logW","C",2195006.79383021,9,"04"
"logE","GROUP",2727889.58904615,10,"04"
"logM","GROUP",69556.544595645,10,"04"
"logN","GROUP",3115427.61026224,10,"04"
"logR","GROUP",2269257.47585243,10,"04"
"logW","GROUP",6992637.05453561,10,"04"
"logR","A",2558871.11696608,10,"04"
"logE","A",2757603.0654459,10,"04"
"logM","A",1219789.1519398,10,"04"
"logN","A",3115427.61056478,10,"04"
"logW","A",1814007.70324546,10,"04"
"logR","B",1735691.77019953,10,"04"
"logE","B",3058561.50227341,10,"04"
"logM","B",6489.91232682687,10,"04"
"logN","B",3115427.61027799,10,"04"
"logW","B",4539163.34851856,10,"04"
"logR","C",2639460.53378395,10,"04"
"logE","C",2914466.06776609,10,"04"
"logM","C",1498187.63295012,10,"04"
"logN","C",3115427.6101236,10,"04"
"logW","C",20378249.4155667,10,"04"
"logE","GROUP",2487155.90105336,11,"04"
"logM","GROUP",29164.0289926956,11,"04"
"logN","GROUP",4461480.22509608,11,"04"
"logR","GROUP",2895839.45313409,11,"04"
"logW","GROUP",7148956.69471597,11,"04"
"logR","A",3458903.97219872,11,"04"
"logE","A",2353834.71554532,11,"04"
"logM","A",1759873.50456304,11,"04"
"logN","A",4461480.2255293,11,"04"
"logW","A",5074386.57639493,11,"04"
"logR","B",2618707.77378087,11,"04"
"logE","B",2498331.30626686,11,"04"
"logM","B",5360.56884529569,11,"04"
"logN","B",4461480.22511864,11,"04"
"logW","B",3888517.42305175,11,"04"
"logR","C",2691639.30684192,11,"04"
"logE","C",2417709.07344304,11,"04"
"logM","C",77966.4299652617,11,"04"
"logN","C",4461480.22489751,11,"04"
"logW","C",12305514.8121494,11,"04"
"logE","GROUP",2497996.79596572,12,"04"
"logM","GROUP",10663.0800156703,12,"04"
"logN","GROUP",2126700.20165713,12,"04"
"logR","GROUP",2360516.79346495,12,"04"
"logW","GROUP",7634839.55286627,12,"04"
"logR","A",2608061.20152668,12,"04"
"logE","A",1992017.29650607,12,"04"
"logM","A",1201172.73275005,12,"04"
"logN","A",2126700.20186362,12,"04"
"logW","A",21908477.38321,12,"04"
"logR","B",2066405.99171315,12,"04"
"logE","B",2129125.94842434,12,"04"
"logM","B",4275.02772541274,12,"04"
"logN","B",2126700.20166789,12,"04"
"logW","B",3403567.89103709,12,"04"
"logR","C",2448619.32349045,12,"04"
"logE","C",2108363.33104684,12,"04"
"logM","C",11859.9616571404,12,"04"
"logN","C",2126700.20156246,12,"04"
"logW","C",11763008.0979901,12,"04"
"logE","GROUP",2766818.35423993,13,"04"
"logM","GROUP",3985.01831788307,13,"04"
"logN","GROUP",720582.672436924,13,"04"
"logR","GROUP",1791728.55005554,13,"04"
"logW","GROUP",7361473.98927261,13,"04"
"logR","A",1627344.61620632,13,"04"
"logE","A",2231034.99203407,13,"04"
"logM","A",23205.3872581283,13,"04"
"logN","A",720582.672506881,13,"04"
"logW","A",15425247.7803555,13,"04"
"logR","B",1796525.18285784,13,"04"
"logE","B",2529571.7068192,13,"04"
"logM","B",4665.71549321279,13,"04"
"logN","B",720582.672440571,13,"04"
"logW","B",2664012.7756892,13,"04"
"logR","C",1972151.19527697,13,"04"
"logE","C",2842854.88760958,13,"04"
"logM","C",2293.27287803164,13,"04"
"logN","C",720582.672404845,13,"04"
"logW","C",10676697.0176162,13,"04"
"logE","GROUP",3282751.52093207,14,"04"
"logM","GROUP",2405.36506387017,14,"04"
"logN","GROUP",1818736.84681333,14,"04"
"logR","GROUP",2233616.21546044,14,"04"
"logW","GROUP",7254636.6548176,14,"04"
"logR","A",1834086.28106096,14,"04"
"logE","A",3193299.48230221,14,"04"
"logM","A",1437.46825579251,14,"04"
"logN","A",1818736.84698988,14,"04"
"logW","A",13244570.2005214,14,"04"
"logR","B",2408221.38186377,14,"04"
"logE","B",3681421.12886176,14,"04"
"logM","B",8701.13795472254,14,"04"
"logN","B",1818736.84682254,14,"04"
"logW","B",2262209.56376942,14,"04"
"logR","C",2530856.93932326,14,"04"
"logE","C",4145788.82818764,14,"04"
"logM","C",876.956892076278,14,"04"
"logN","C",1818736.84673235,14,"04"
"logW","C",10254246.0868704,14,"04"
"logE","GROUP",3965976.44144569,15,"04"
"logM","GROUP",2401.4869985181,15,"04"
"logN","GROUP",2559872.41216493,15,"04"
"logR","GROUP",2322898.82432552,15,"04"
"logW","GROUP",7160800.52081881,15,"04"
"logR","A",2331393.38163793,15,"04"
"logE","A",3498154.43737913,15,"04"
"logM","A",293.016180721824,15,"04"
"logN","A",2559872.41241339,15,"04"
"logW","A",11958955.6451803,15,"04"
"logR","B",2497818.98814422,15,"04"
"logE","B",4520083.53630451,15,"04"
"logM","B",18150.5750017399,15,"04"
"logN","B",2559872.41217791,15,"04"
"logW","B",2052534.90618076,15,"04"
"logR","C",2159343.74694657,15,"04"
"logE","C",5067031.75358588,15,"04"
"logM","C",586.55858931066,15,"04"
"logN","C",2559872.41205093,15,"04"
"logW","C",9985861.41577602,15,"04"
"logE","GROUP",4633085.56663998,16,"04"
"logM","GROUP",2525.6336046273,16,"04"
"logN","GROUP",1900238.74315086,16,"04"
"logR","GROUP",2150511.50316409,16,"04"
"logW","GROUP",7109774.95005002,16,"04"
"logR","A",2289864.95253937,16,"04"
"logE","A",3745427.1437007,16,"04"
"logM","A",99.0735465493015,16,"04"
"logN","A",1900238.74333528,16,"04"
"logW","A",11469685.3546671,16,"04"
"logR","B",2059969.3730656,16,"04"
"logE","B",4867378.59053864,16,"04"
"logM","B",38331.080434977,16,"04"
"logN","B",1900238.7431605,16,"04"
"logW","B",1991001.7747416,16,"04"
"logR","C",2114665.81349944,16,"04"
"logE","C",5075040.87242001,16,"04"
"logM","C",421.642982057569,16,"04"
"logN","C",1900238.74306623,16,"04"
"logW","C",9903075.23580495,16,"04"
"logE","GROUP",5494614.98318088,17,"04"
"logM","GROUP",2974.08877703534,17,"04"
"logN","GROUP",1620099.2714831,17,"04"
"logR","GROUP",1917736.95288622,17,"04"
"logW","GROUP",7144825.599314,17,"04"
"logR","A",NA,17,"04"
"logE","A",NA,17,"04"
"logM","A",NA,17,"04"
"logN","A",NA,17,"04"
"logW","A",NA,17,"04"
"logR","B",1856582.48753859,17,"04"
"logE","B",5242881.79941659,17,"04"
"logM","B",88928.0160639877,17,"04"
"logN","B",1620099.27149133,17,"04"
"logW","B",2142856.51092576,17,"04"
"logR","C",1868545.85796621,17,"04"
"logE","C",5514916.93081119,17,"04"
"logM","C",333.131033417298,17,"04"
"logN","C",1620099.27141094,17,"04"
"logW","C",9881597.8262152,17,"04"
"logE","GROUP",5594978.48905667,18,"04"
"logM","GROUP",1524.28057988245,18,"04"
"logN","GROUP",1586590.66574269,18,"04"
"logR","GROUP",1089909.5027363,18,"04"
"logW","GROUP",7318733.00884089,18,"04"
"logR","A",NA,18,"04"
"logE","A",NA,18,"04"
"logM","A",NA,18,"04"
