"name","mouse","value","time","box"
"logE","GROUP",8236693.31327794,0,"02"
"logM","GROUP",726.274748583445,0,"02"
"logN","GROUP",600680.50299629,0,"02"
"logR","GROUP",302346.138641998,0,"02"
"logW","GROUP",5516475.10207173,0,"02"
"logM","B",488.546576803481,0,"02"
"logE","B",8401114.85082486,0,"02"
"logR","B",302346.138642445,0,"02"
"logW","B",1332110.30585368,0,"02"
"logN","B",600680.503043279,0,"02"
"logM","A",1069.35590520884,0,"02"
"logE","A",7956219.39677098,0,"02"
"logR","A",302346.138645613,0,"02"
"logW","A",1170382.84732216,0,"02"
"logN","A",600680.502814253,0,"02"
"logE","GROUP",7914835.6240871,1,"02"
"logM","GROUP",3678.01581412396,1,"02"
"logN","GROUP",599497.776297839,1,"02"
"logR","GROUP",828283.341468984,1,"02"
"logW","GROUP",5509746.59523709,1,"02"
"logM","B",2382.67760212309,1,"02"
"logE","B",8122402.60084988,1,"02"
"logR","B",828283.341470206,1,"02"
"logW","B",1327240.63327409,1,"02"
"logN","B",599497.776339342,1,"02"
"logM","A",5255.06714654329,1,"02"
"logE","A",7678240.18742603,1,"02"
"logR","A",828283.341478885,1,"02"
"logW","A",1166909.84928483,1,"02"
"logN","A",599497.776115391,1,"02"
"logE","GROUP",7608513.69331822,2,"02"
"logM","GROUP",17610.7682678875,2,"02"
"logN","GROUP",605762.453442588,2,"02"
"logR","GROUP",447723.143233353,2,"02"
"logW","GROUP",5727938.03721432,2,"02"
"logM","B",11699.8448207532,2,"02"
"logE","B",8368361.1583407,2,"02"
"logR","B",447723.143234014,2,"02"
"logW","B",1488099.98865513,2,"02"
"logN","B",605762.453484271,2,"02"
"logM","A",25998.3940293844,2,"02"
"logE","A",7922280.3640541,2,"02"
"logR","A",447723.143238705,2,"02"
"logW","A",1354955.26053268,2,"02"
"logN","A",605762.45325834,2,"02"
"logE","GROUP",7442405.92668979,3,"02"
"logM","GROUP",85624.5870556557,3,"02"
"logN","GROUP",629733.915534969,3,"02"
"logR","GROUP",629361.969508403,3,"02"
"logW","GROUP",6420969.69811149,3,"02"
"logM","B",56160.7084396968,3,"02"
"logE","B",8220024.17557505,3,"02"
"logR","B",629361.969509332,3,"02"
"logW","B",2082801.01863256,3,"02"
"logN","B",629733.915576966,3,"02"
"logM","A",125100.585993555,3,"02"
"logE","A",7760922.16241246,3,"02"
"logR","A",629361.969515924,3,"02"
"logW","A",2094230.27911874,3,"02"
"logN","A",629733.915342766,3,"02"
"logE","GROUP",7242885.05705477,4,"02"
"logM","GROUP",394807.761450256,4,"02"
"logN","GROUP",664427.8020583,4,"02"
"logR","GROUP",687095.044005343,4,"02"
"logW","GROUP",7511793.25798145,4,"02"
"logM","B",250943.706538725,4,"02"
"logE","B",8189928.44044476,4,"02"
"logR","B",687095.044006359,4,"02"
"logW","B",3270461.51240482,4,"02"
"logN","B",664427.802101077,4,"02"
"logM","A",546624.419246468,4,"02"
"logE","A",7668166.48836547,4,"02"
"logR","A",687095.044013551,4,"02"
"logW","A",3856752.58421658,4,"02"
"logN","A",664427.801857625,4,"02"
"logE","GROUP",7486490.01217804,5,"02"
"logM","GROUP",1684340.73742284,5,"02"
"logN","GROUP",714835.269608923,5,"02"
"logR","GROUP",706832.314959158,5,"02"
"logW","GROUP",8940340.09761209,5,"02"
"logM","B",967349.507634559,5,"02"
"logE","B",8008359.23910871,5,"02"
"logR","B",706832.314960206,5,"02"
"logW","B",5774242.07577543,5,"02"
"logN","B",714835.269652762,5,"02"
"logM","A",1875729.61403705,5,"02"
"logE","A",7228275.55299941,5,"02"
"logR","A",706832.314967598,5,"02"
"logW","A",7087765.30621752,5,"02"
"logN","A",714835.269391756,5,"02"
"logE","GROUP",6110330.54172286,6,"02"
"logM","GROUP",4104020.18967024,6,"02"
"logN","GROUP",781256.583244786,6,"02"
"logR","GROUP",532804.148214084,6,"02"
"logW","GROUP",10261105.8366715,6,"02"
"logM","B",2648308.20938537,6,"02"
"logE","B",7186249.53954044,6,"02"
"logR","B",532804.148214876,6,"02"
"logW","B",10784286.9304185,6,"02"
"logN","B",781256.58329706,6,"02"
"logM","A",3805418.32592867,6,"02"
"logE","A",5725389.34175037,6,"02"
"logR","A",532804.148220444,6,"02"
"logW","A",9638364.74153343,6,"02"
"logN","A",781256.583007437,6,"02"
"logE","GROUP",3345916.7461748,7,"02"
"logM","GROUP",2902309.07155914,7,"02"
"logN","GROUP",876661.395688545,7,"02"
"logR","GROUP",441525.945374026,7,"02"
"logW","GROUP",10758126.9745023,7,"02"
"logM","B",3051350.13043332,7,"02"
"logE","B",4950592.17178397,7,"02"
"logR","B",441525.945374683,7,"02"
"logW","B",15006790.9333672,7,"02"
"logN","B",876661.395761211,7,"02"
"logM","A",3285167.41395298,7,"02"
"logE","A",3007568.07215305,7,"02"
"logR","A",441525.945379295,7,"02"
"logW","A",9561904.30439064,7,"02"
"logN","A",876661.39542696,7,"02"
"logE","GROUP",1616458.63037873,8,"02"
"logM","GROUP",484961.75587158,8,"02"
"logN","GROUP",1056131.96946429,8,"02"
"logR","GROUP",540535.088213025,8,"02"
"logW","GROUP",9224287.47076243,8,"02"
"logM","B",745933.248453571,8,"02"
"logE","B",2603062.77702576,8,"02"
"logR","B",540535.088213832,8,"02"
"logW","B",9617140.79829621,8,"02"
"logN","B",1056131.96955259,8,"02"
"logM","A",625548.688458945,8,"02"
"logE","A",1032163.88156954,8,"02"
"logR","A",540535.088219473,8,"02"
"logW","A",5315989.84516303,8,"02"
"logN","A",1056131.96913316,8,"02"
"logE","GROUP",1493749.61404361,9,"02"
"logM","GROUP",86920.9620153428,9,"02"
"logN","GROUP",1513609.73338225,9,"02"
"logR","GROUP",862097.8509623,9,"02"
"logW","GROUP",8275976.11403191,9,"02"
"logM","B",135601.810685441,9,"02"
"logE","B",1772485.14253503,9,"02"
"logR","B",862097.85096359,9,"02"
"logW","B",6080191.06865049,9,"02"
"logN","B",1513609.73352632,9,"02"
"logM","A",54670.7550308163,9,"02"
"logE","A",539881.620630762,9,"02"
"logR","A",862097.850972583,9,"02"
"logW","A",4069996.2244892,9,"02"
"logN","A",1513609.73289866,9,"02"
"logE","GROUP",1560106.15654331,10,"02"
"logM","GROUP",24464.1041940302,10,"02"
"logN","GROUP",2378602.2471134,10,"02"
"logR","GROUP",2101306.26380076,10,"02"
"logW","GROUP",8014649.96132138,10,"02"
"logM","B",45077.6084621542,10,"02"
"logE","B",1408972.59156925,10,"02"
"logR","B",2101306.26380392,10,"02"
"logW","B",4697104.85454637,10,"02"
"logN","B",2378602.24734995,10,"02"
"logM","A",6085.82988928487,10,"02"
"logE","A",458080.929111401,10,"02"
"logR","A",2101306.26382582,10,"02"
"logW","A",4270658.68434282,10,"02"
"logN","A",2378602.24637442,10,"02"
"logE","GROUP",1566213.60437127,11,"02"
"logM","GROUP",24297.807439279,11,"02"
"logN","GROUP",3390341.26569914,11,"02"
"logR","GROUP",3589797.40395984,11,"02"
"logW","GROUP",7411827.42350315,11,"02"
"logM","B",36340.1031376679,11,"02"
"logE","B",1759900.90705354,11,"02"
"logR","B",3589797.40396524,11,"02"
"logW","B",4377978.11598027,11,"02"
"logN","B",3390341.26601468,11,"02"
"logM","A",2754.95176174719,11,"02"
"logE","A",1007998.82980213,11,"02"
