"name","mouse","value","time"
"logE","GROUP",8186336.96395508,0
"logM","GROUP",485.847134988922,0
"logN","GROUP",719259.099680045,0
"logR","GROUP",526063.815865625,0
"logW","GROUP",2328457.31019826,0
"logM","C",3.85294396035729,0
"logE","C",8671501.24372386,0
"logR","C",215616.125921956,0
"logW","C",1767980.11875451,0
"logN","C",719259.099680045,0
"logM","B",1153.96913337646,0
"logE","B",9201155.98456962,0
"logR","B",202541.799807574,0
"logW","B",2918054.07912229,0
"logN","B",719259.099680043,0
"logM","A",1378.69072967352,0
"logE","A",7248243.82577827,0
"logR","A",444107.176912142,0
"logW","A",2369663.88611919,0
"logN","A",719259.09968004,0
"logE","GROUP",7885829.66823763,1
"logM","GROUP",2459.09943119178,1
"logN","GROUP",721426.547473868,1
"logR","GROUP",1004621.17597581,1
"logW","GROUP",2294476.57816624,1
"logM","C",17.7365419205708,1
"logE","C",8196886.07626277,1
"logR","C",758533.430520233,1
"logW","C",1742497.73242304,1
"logN","C",721426.547473868,1
"logM","B",4773.26315988738,1
"logE","B",8711040.21139833,1
"logR","B",649192.035612768,1
"logW","B",2875251.9482096,1
"logN","B",721426.547473867,1
"logM","A",5619.0499785447,1
"logE","A",7003724.63109266,1
"logR","A",1084603.76641201,1
"logW","A",2334972.92966584,1
"logN","A",721426.547473864,1
"logE","GROUP",7802284.57524781,2
"logM","GROUP",11771.2629656841,2
"logN","GROUP",738399.237432343,2
"logR","GROUP",710696.878048202,2
"logW","GROUP",2419687.1130983,2
"logM","C",82.0360047082648,2
"logE","C",8263549.89024748,2
"logR","C",469617.197954365,2
"logW","C",1837752.4841123,2
"logN","C",738399.237432341,2
"logM","B",19794.0849072695,2
"logE","B",8662707.48339088,2
"logR","B",331099.944324857,2
"logW","B",3034560.50137523,2
"logN","B",738399.237432341,2
"logM","A",23446.477110548,2
"logE","A",7391082.50371088,2
"logR","A",596246.926228736,2
"logW","A",2462174.12675704,2
"logN","A",738399.23743234,2
"logE","GROUP",7723453.76158076,3
"logM","GROUP",57217.0592094665,3
"logN","GROUP",784393.646131822,3
"logR","GROUP",851255.428847156,3
"logW","GROUP",2900669.95794453,3
"logM","C",371.977764835442,3
"logE","C",8026404.14851353,3
"logR","C",579764.157375976,3
"logW","C",2202615.70623727,3
"logN","C",784393.646131821,3
"logM","B",79180.4309228505,3
"logE","B",8268378.51533541,3
"logR","B",521037.46490712,3
"logW","B",3643699.58019417,3
"logN","B",784393.646131821,3
"logM","A",95522.7779178643,3
