"name","mouse","value","time"
"logE","GROUP",8152222.88124565,0
"logM","GROUP",1611.17403790525,0
"logN","GROUP",415412.046714911,0
"logR","GROUP",195453.914597276,0
"logW","GROUP",4497590.15329741,0
"logM","C",1443.77717321126,0
"logE","C",8338257.23617495,0
"logR","C",223841.068869049,0
"logW","C",4422145.31898082,0
"logN","C",415412.04672397,0
"logM","B",758.675250533574,0
"logE","B",6112787.05644628,0
"logR","B",169876.934541449,0
"logW","B",2631674.80173347,0
"logN","B",415412.046706916,0
"logM","A",2338.04451237061,0
"logE","A",11885503.420414,0
"logR","A",194730.153090527,0
"logW","A",7760516.13168118,0
"logN","A",415412.04671099,0
"logE","GROUP",8405154.97584006,1
"logM","GROUP",6140.9025630632,1
"logN","GROUP",415456.236682278,1
"logR","GROUP",737071.197268889,1
"logW","GROUP",4500580.7394014,1
"logM","C",4996.97478805188,1
"logE","C",8155304.75761991,1
"logR","C",755799.798761764,1
"logW","C",4425062.61273024,1
"logN","C",415456.23669134,1
"logM","B",2844.55947611235,1
"logE","B",5879303.25679483,1
"logR","B",702852.243916791,1
"logW","B",2632909.75267905,1
"logN","B",415456.236674282,1
"logM","A",7235.98557413987,1
"logE","A",11672368.6471219,1
"logR","A",756712.86846743,1
"logW","A",7767258.80457457,1
"logN","A",415456.236678355,1
"logE","GROUP",8420465.98787628,2
"logM","GROUP",22478.2209979851,2
"logN","GROUP",411621.799311463,2
"logR","GROUP",368992.272505843,2
"logW","GROUP",2312148.77491582,2
"logM","C",17700.9625931904,2
"logE","C",8492854.62694806,2
"logR","C",431038.271344757,2
"logW","C",2288270.97146989,2
"logN","C",411621.799320443,2
"logM","B",10897.1634836358,2
"logE","B",6175323.60601921,2
"logR","B",346703.180301845,2
"logW","B",1351169.11366471,2
"logN","B",411621.799303542,2
"logM","A",22759.2797324911,2
"logE","A",12034194.0423907,2
"logR","A",335241.562731748,2
"logW","A",3949568.65707437,2
"logN","A",411621.799307576,2
"logE","GROUP",8189802.46559893,3
"logM","GROUP",82915.2568495928,3
"logN","GROUP",471203.962151359,3
"logR","GROUP",375225.699232877,3
"logW","GROUP",1927039.00009844,3
"logM","C",79874.2894083625,3
"logE","C",8487810.77033973,3
"logR","C",422501.30451758,3
"logW","C",1934639.94123493,3
"logN","C",471203.962161641,3
"logM","B",50674.6039427546,3
"logE","B",6108309.04202956,3
"logR","B",349893.539657211,3
"logW","B",1127313.78806371,3
"logN","B",471203.962142291,3
"logM","A",97084.327036314,3
"logE","A",11976096.4826658,3
"logR","A",356332.100431593,3
"logW","A",3237185.52469444,3
"logN","A",471203.962146907,3
"logE","GROUP",7839632.44529974,4
"logM","GROUP",298591.757877885,4
"logN","GROUP",529250.435239196,4
"logR","GROUP",352592.166970569,4
"logW","GROUP",2106750.94678762,4
"logM","C",369754.429413447,4
"logE","C",8358798.60621313,4
"logR","C",346200.879756183,4
"logW","C",2146406.89899212,4
"logN","C",529250.435250747,4
"logM","B",240049.819975005,4
"logE","B",5951357.43489243,4
"logR","B",325640.897999083,4
"logW","B",1233883.12795601,4
"logN","B",529250.435229013,4
"logM","A",436238.201569981,4
"logE","A",11810509.5461414,4
"logR","A",387335.153923284,4
"logW","A",3485541.94335042,4
"logN","A",529250.435234192,4
"logE","GROUP",7616013.90507462,5
"logM","GROUP",1032059.02230682,5
"logN","GROUP",687232.929879887,5
"logR","GROUP",361636.101496173,5
"logW","GROUP",8543198.68791595,5
"logM","C",1624600.75207339,5
"logE","C",7831652.57651589,5
"logR","C",368587.669465725,5
"logW","C",8869782.37963925,5
"logN","C",687232.929894889,5
"logM","B",1084210.37679265,5
"logE","B",5545731.07866433,5
"logR","B",290098.244902924,5
"logW","B",5016942.35163478,5
"logN","B",687232.929866667,5
"logM","A",1880764.28683875,5
"logE","A",11296886.8592291,5
"logR","A",440514.005867806,5
"logW","A",13974016.3449352,5
"logN","A",687232.929873386,5
"logE","GROUP",6447577.12364785,6
"logM","GROUP",2255500.61944036,6
"logN","GROUP",720231.533711117,6
"logR","GROUP",257499.327811325,6
"logW","GROUP",14533873.3375344,6
"logM","C",2803224.08137418,6
"logE","C",6162935.43728292,6
