"name","mouse","value","time","box"
"logE","GROUP",8295407.63648734,0,"01"
"logM","GROUP",75.6723533120745,0,"01"
"logN","GROUP",325176.669652172,0,"01"
"logR","GROUP",232893.221608024,0,"01"
"logW","GROUP",3516505.02376498,0,"01"
"logM","A",4974.66357870829,0,"01"
"logE","A",7953361.03600699,0,"01"
"logR","A",224754.137354711,0,"01"
"logW","A",3528223.60489901,0,"01"
"logN","A",325176.669646989,0,"01"
"logM","C",1084.80526359536,0,"01"
"logE","C",8494205.57812284,0,"01"
"logR","C",248770.901846013,0,"01"
"logW","C",2683760.95886944,0,"01"
"logN","C",325176.669644751,0,"01"
"logE","GROUP",8262171.34583328,1,"01"
"logM","GROUP",4550.64469361559,1,"01"
"logN","GROUP",866151.577955282,1,"01"
"logR","GROUP",623975.843168386,1,"01"
"logW","GROUP",3506630.67145237,1,"01"
"logM","A",20193.2268828979,1,"01"
"logE","A",7725407.6115691,1,"01"
"logR","A",587033.912390198,1,"01"
"logW","A",3512765.33157013,1,"01"
"logN","A",866151.577941476,1,"01"
"logM","C",5013.7824110596,1,"01"
"logE","C",8842886.90909779,1,"01"
"logR","C",701212.070190325,1,"01"
"logW","C",2677735.33652898,1,"01"
"logN","C",866151.577935515,1,"01"
"logE","GROUP",8087390.70006511,2,"01"
"logM","GROUP",16383.8211889762,2,"01"
"logN","GROUP",765814.463792491,2,"01"
"logR","GROUP",439561.437937956,2,"01"
"logW","GROUP",3461877.19928977,2,"01"
"logM","A",77537.3005189635,2,"01"
"logE","A",7361885.53395922,2,"01"
"logR","A",446484.998537158,2,"01"
"logW","A",3444976.05146234,2,"01"
"logN","A",765814.463780285,2,"01"
"logM","C",22475.1031201972,2,"01"
"logE","C",8716913.0732177,2,"01"
"logR","C",445342.154872048,2,"01"
"logW","C",2649017.18621082,2,"01"
"logN","C",765814.463775017,2,"01"
"logE","GROUP",8070362.40214359,3,"01"
"logM","GROUP",183450.970042488,3,"01"
"logN","GROUP",634033.473429604,3,"01"
"logR","GROUP",522969.266746217,3,"01"
"logW","GROUP",3510722.08133591,3,"01"
"logM","A",293322.482957748,3,"01"
"logE","A",7093225.81981152,3,"01"
"logR","A",608230.65364272,3,"01"
"logW","A",3507489.09263593,3,"01"
"logN","A",634033.473419499,3,"01"
"logM","C",100601.908691069,3,"01"
"logE","C",8300899.70175846,3,"01"
"logR","C",461003.010713973,3,"01"
"logW","C",2688967.70478639,3,"01"
"logN","C",634033.473415139,3,"01"
"logE","GROUP",7390140.57118521,4,"01"
"logM","GROUP",1340477.34443275,4,"01"
"logN","GROUP",330633.526945231,4,"01"
"logR","GROUP",684709.71034253,4,"01"
"logW","GROUP",3506523.09208606,4,"01"
"logM","A",1093640.5810474,4,"01"
"logE","A",6797191.30941696,4,"01"
"logR","A",896022.358311606,4,"01"
"logW","A",3521959.3638313,4,"01"
"logN","A",330633.526939962,4,"01"
"logM","C",445745.197795219,4,"01"
"logE","C",8020150.22540064,4,"01"
"logR","C",537046.549982844,4,"01"
"logW","C",2670084.08584493,4,"01"
"logN","C",330633.526937688,4,"01"
"logE","GROUP",6727550.95260367,5,"01"
"logM","GROUP",5256119.03028946,5,"01"
"logN","GROUP",443268.201780724,5,"01"
"logR","GROUP",733368.379423655,5,"01"
"logW","GROUP",9188011.8308957,5,"01"
"logM","A",4032301.60217969,5,"01"
"logE","A",6488862.67483596,5,"01"
"logR","A",877136.197489419,5,"01"
"logW","A",12508093.906976,5,"01"
"logN","A",443268.201773662,5,"01"
"logM","C",1992938.94078532,5,"01"
"logE","C",7889678.57462027,5,"01"
"logR","C",626231.747069431,5,"01"
"logW","C",7259922.42900403,5,"01"
"logN","C",443268.201770614,5,"01"
"logE","GROUP",4465481.57512244,6,"01"
"logM","GROUP",36202029.9169334,6,"01"
"logN","GROUP",542137.749327998,6,"01"
"logR","GROUP",491149.724010634,6,"01"
"logW","GROUP",12464676.3125362,6,"01"
"logM","A",3466169.89531184,6,"01"
"logE","A",3977395.2535202,6,"01"
"logR","A",438304.889529052,6,"01"
"logW","A",11864570.5473476,6,"01"
"logN","A",542137.749319362,6,"01"
"logM","C",4686160.91846695,6,"01"
"logE","C",6423073.05016732,6,"01"
"logR","C",548929.300506438,6,"01"
"logW","C",15690560.3584119,6,"01"
"logN","C",542137.749315633,6,"01"
"logE","GROUP",2629640.00524827,7,"01"
"logM","GROUP",5704105.46470798,7,"01"
"logN","GROUP",649086.686901812,7,"01"
"logR","GROUP",521721.079742897,7,"01"
"logW","GROUP",9436200.46237531,7,"01"
"logM","A",944375.741750422,7,"01"
"logE","A",1787639.17799769,7,"01"
"logR","A",502437.88853917,7,"01"
"logW","A",8616328.93001494,7,"01"
"logN","A",649086.686891475,7,"01"
"logM","C",2157975.75127322,7,"01"
"logE","C",3278032.52223001,7,"01"
"logR","C",537748.06408452,7,"01"
"logW","C",11218876.0753253,7,"01"
"logN","C",649086.68688701,7,"01"
"logE","GROUP",1761167.33556282,8,"01"
"logM","GROUP",3096354.7133431,8,"01"
"logN","GROUP",771059.863874375,8,"01"
"logR","GROUP",548139.803735307,8,"01"
"logW","GROUP",7439949.26337438,8,"01"
"logM","A",88046.3999853101,8,"01"
"logE","A",1140695.0136637,8,"01"
"logR","A",421286.715072997,8,"01"
"logW","A",6793877.63612299,8,"01"
"logN","A",771059.863862099,8,"01"
"logM","C",479133.700628399,8,"01"
"logE","C",1831945.1578854,8,"01"
"logR","C",703848.830641993,8,"01"
"logW","C",8130320.73313314,8,"01"
"logN","C",771059.863856792,8,"01"
"logE","GROUP",1752188.69595012,9,"01"
"logM","GROUP",379714.066135813,9,"01"
"logN","GROUP",976327.627206191,9,"01"
