"name","value"
"Beta",6.09
"lambdaM",1000
"lambdaE",1000
"sigmaR",0.75
"sigmaW",0.75
"sigmaN",0.75
"alphan",0.9999995319122
"sigman",4.59042631061704e-15
"alphar",0.988896069448017
"sigmar",0.0952133022874285
"alphaw",0.999932363132477
"sigmaw",0.0294279145993499
"sigmaRBC",0.424722682478139
"sigmaRetic",0.00628496612707889
"sigmaPd",0.148203217886406
