"name","mouse","value","time","box"
"logE","GROUP",8236693.31327794,0,"02"
"logM","GROUP",726.274748583445,0,"02"
"logN","GROUP",723413.09386415,0,"02"
"logR","GROUP",306477.379393234,0,"02"
"logW","GROUP",2280068.93720863,0,"02"
"logM","B",0.000879459383550927,0,"02"
"logE","B",8661653.70715784,0,"02"
"logR","B",202707.536799919,0,"02"
"logW","B",2280068.93720951,0,"02"
"logN","B",662654.370692273,0,"02"
"logM","A",98.790474932801,0,"02"
"logE","A",7800764.42213392,0,"02"
"logR","A",443784.12844357,0,"02"
"logW","A",2280068.93720106,0,"02"
"logN","A",676417.827217757,0,"02"
"logE","GROUP",7914835.6240871,1,"02"
"logM","GROUP",3678.01581412396,1,"02"
"logN","GROUP",1293260.24089364,1,"02"
"logR","GROUP",844392.103893862,1,"02"
"logW","GROUP",2304884.17296758,1,"02"
"logM","B",0.00384283462499909,1,"02"
"logE","B",8158671.23549537,1,"02"
"logR","B",648431.695452362,1,"02"
"logW","B",2304884.17296848,1,"02"
"logN","B",1078635.52793544,1,"02"
"logM","A",420.324407834466,1,"02"
"logE","A",7700358.66283285,1,"02"
"logR","A",1086012.14758286,1,"02"
"logW","A",2304884.17295994,1,"02"
"logN","A",1437139.70615987,1,"02"
"logE","GROUP",7608513.69331822,2,"02"
"logM","GROUP",17610.7682678875,2,"02"
"logN","GROUP",749298.284201312,2,"02"
"logR","GROUP",451354.638197175,2,"02"
"logW","GROUP",2323148.59235562,2,"02"
"logM","B",0.0159372855284503,2,"02"
"logE","B",7758523.82785792,2,"02"
"logR","B",331363.324711535,2,"02"
"logW","B",2323148.59235652,2,"02"
"logN","B",525083.358294129,2,"02"
"logM","A",1671.95007897084,2,"02"
"logE","A",7438600.5730383,2,"02"
"logR","A",595766.69845984,2,"02"
"logW","A",2323148.59234792,2,"02"
"logN","A",920215.211994916,2,"02"
"logE","GROUP",7442405.92668979,3,"02"
"logM","GROUP",85624.5870556557,3,"02"
"logN","GROUP",923816.746166436,3,"02"
"logR","GROUP",637348.739094137,3,"02"
"logW","GROUP",2310062.94066105,3,"02"
"logM","B",0.0682551380433747,3,"02"
"logE","B",7817712.72617463,3,"02"
"logR","B",521359.174476424,3,"02"
"logW","B",2310062.94066194,3,"02"
"logN","B",737435.381098948,3,"02"
"logM","A",6799.59623469414,3,"02"
"logE","A",7081314.69454529,3,"02"
"logR","A",762968.000865477,3,"02"
"logW","A",2310062.94065338,3,"02"
"logN","A",1024720.89751926,3,"02"
"logE","GROUP",7242885.05705477,4,"02"
"logM","GROUP",394807.761450256,4,"02"
"logN","GROUP",523179.761973418,4,"02"
"logR","GROUP",693718.415794993,4,"02"
"logW","GROUP",2316010.3638468,4,"02"
"logM","B",0.2884340416159,4,"02"
"logE","B",7484099.49894724,4,"02"
"logR","B",653229.573991006,4,"02"
"logW","B",2316010.36384769,4,"02"
"logN","B",364340.431516149,4,"02"
"logM","A",27057.8044894174,4,"02"
"logE","A",6933376.79150464,4,"02"
"logR","A",723269.163699746,4,"02"
"logW","A",2316010.36383912,4,"02"
"logN","A",615743.07495749,4,"02"
"logE","GROUP",7486490.01217804,5,"02"
"logM","GROUP",1684340.73742284,5,"02"
"logN","GROUP",2363931.5975282,5,"02"
"logR","GROUP",714927.350125752,5,"02"
"logW","GROUP",2329668.57794084,5,"02"
"logM","B",1.2636903134722,5,"02"
"logE","B",7931977.50506949,5,"02"
"logR","B",640978.300596212,5,"02"
"logW","B",2329668.57794173,5,"02"
"logN","B",1638000.81752045,5,"02"
"logM","A",112176.527585365,5,"02"
"logE","A",7126560.78016183,5,"02"
"logR","A",783551.444734745,5,"02"
"logW","A",2329668.57793313,5,"02"
"logN","A",3431756.36881609,5,"02"
"logE","GROUP",6110330.54172286,6,"02"
"logM","GROUP",4104020.18967024,6,"02"
"logN","GROUP",4255925.07208306,6,"02"
"logR","GROUP",539323.771390053,6,"02"
"logW","GROUP",2310990.86164864,6,"02"
"logM","B",4.84440445302116,6,"02"
"logE","B",7181671.30056148,6,"02"
"logR","B",498828.437542591,6,"02"
"logW","B",2310990.86164951,6,"02"
"logN","B",4413891.12913695,6,"02"
"logM","A",327392.640479698,6,"02"
"logE","A",5013540.34396431,6,"02"
"logR","A",568076.459108782,6,"02"
"logW","A",2310990.86164099,6,"02"
"logN","A",4471107.41284205,6,"02"
"logE","GROUP",3345916.7461748,7,"02"
"logM","GROUP",2902309.07155914,7,"02"
"logN","GROUP",2867641.70304731,7,"02"
"logR","GROUP",447076.142741808,7,"02"
"logW","GROUP",2232831.91559181,7,"02"
"logM","B",12.2915685983162,7,"02"
"logE","B",4311670.02221605,7,"02"
"logR","B",373969.337637465,7,"02"
"logW","B",2232831.91559264,7,"02"
"logN","B",3520513.87463131,7,"02"
"logM","A",574534.203466783,7,"02"
"logE","A",2364654.66699093,7,"02"
"logR","A",517727.244175152,7,"02"
"logW","A",2232831.91558444,7,"02"
"logN","A",2412230.72649057,7,"02"
"logE","GROUP",1616458.63037873,8,"02"
"logM","GROUP",484961.75587158,8,"02"
"logN","GROUP",597125.280259725,8,"02"
"logR","GROUP",545794.579954523,8,"02"
"logW","GROUP",3147021.59407535,8,"02"
"logM","B",21.9273171382523,8,"02"
"logE","B",2200872.53732288,8,"02"
"logR","B",489381.618551907,8,"02"
"logW","B",3147021.5940765,8,"02"
"logN","B",529129.991276915,8,"02"
"logM","A",633458.231354334,8,"02"
"logE","A",1024885.86680106,8,"02"
"logR","A",593211.068034615,8,"02"
"logW","A",3147021.59406498,8,"02"
"logN","A",562342.032941671,8,"02"
"logE","GROUP",1493749.61404361,9,"02"
"logM","GROUP",86920.9620153428,9,"02"
"logN","GROUP",933225.158739225,9,"02"
"logR","GROUP",862548.151752917,9,"02"
"logW","GROUP",3801487.36752125,9,"02"
"logM","B",34.0525112697275,9,"02"
"logE","B",2235572.71422056,9,"02"
"logR","B",836062.0678032,9,"02"
"logW","B",3801487.36752261,9,"02"
"logN","B",844718.151369106,9,"02"
"logM","A",322458.160039111,9,"02"
"logE","A",771754.072901293,9,"02"
"logR","A",879340.30110654,9,"02"
"logW","A",3801487.36750876,9,"02"
"logN","A",914251.452245319,9,"02"
"logE","GROUP",1560106.15654331,10,"02"
"logM","GROUP",24464.1041940302,10,"02"
"logN","GROUP",3068443.73532793,10,"02"
"logR","GROUP",2090180.211215,10,"02"
"logW","GROUP",4421533.48910314,10,"02"
"logM","B",45.6948122264901,10,"02"
"logE","B",2337271.73670932,10,"02"
"logR","B",1999119.4404621,10,"02"
"logW","B",4421533.48910468,10,"02"
"logN","B",3058800.30332887,10,"02"
"logM","A",102567.588254791,10,"02"
"logE","A",780926.475785713,10,"02"
"logR","A",2218329.99363792,10,"02"
"logW","A",4421533.48908864,10,"02"
"logN","A",3208765.3642206,10,"02"
"logE","GROUP",1566213.60437127,11,"02"
"logM","GROUP",24297.807439279,11,"02"
"logN","GROUP",6832372.23984974,11,"02"
"logR","GROUP",3553458.25748649,11,"02"
"logW","GROUP",4998189.74281831,11,"02"
"logM","B",49.5802129987333,11,"02"
"logE","B",2140772.70533009,11,"02"
"logR","B",3756796.54613608,11,"02"
"logW","B",4998189.74282003,11,"02"
"logN","B",7117685.02081017,11,"02"
"logM","A",48232.1131478051,11,"02"
"logE","A",994355.136030948,11,"02"
